timestamp,true_z,est_z,z_error,covariance_scale_factor,noise_gate_active
6.385000,0.000000,0.094422,-0.094422,1.047619,0
6.387500,0.000000,0.092262,-0.092262,1.047619,0
6.390000,0.000000,0.084360,-0.084360,1.047619,0
6.392500,0.000000,0.099116,-0.099116,1.047619,0
6.395000,0.000000,0.093403,-0.093403,1.047619,0
6.397500,0.000000,0.075921,-0.075921,1.047619,0
6.400000,0.000000,0.066107,-0.066107,0.952381,0
6.402500,0.000000,0.051580,-0.051580,0.952381,0
6.405000,0.000000,0.032034,-0.032034,0.952381,0
6.407500,0.000000,0.027421,-0.027421,0.952381,0
6.410000,0.000000,0.025866,-0.025866,0.952381,0
6.412500,0.000000,0.036738,-0.036738,0.952381,0
6.415000,0.000000,0.041807,-0.041807,0.952381,0
6.417500,0.000000,0.046260,-0.046260,0.952381,0
6.420000,0.000000,0.035043,-0.035043,0.857143,0
6.422500,0.000000,0.043360,-0.043360,0.857143,0
6.425000,0.000000,0.056778,-0.056778,0.857143,0
6.427500,0.000000,0.059070,-0.059070,0.857143,0
6.430000,0.000000,0.061573,-0.061573,0.857143,0
6.432500,0.000000,0.046128,-0.046128,0.857143,0
6.435000,0.000000,0.055713,-0.055713,0.857143,0
6.437500,0.000000,0.072590,-0.072590,0.857143,0
6.440000,0.000000,0.073570,-0.073570,0.857143,0
6.442500,0.000000,0.064919,-0.064919,0.857143,0
6.445000,0.000000,0.061086,-0.061086,0.857143,0
6.447500,0.000000,0.054698,-0.054698,0.857143,0
6.450000,0.000000,0.049156,-0.049156,0.857143,0
6.452500,0.000000,0.054263,-0.054263,0.857143,0
6.455000,0.000000,0.055379,-0.055379,0.857143,0
6.457500,0.000000,0.063940,-0.063940,0.857143,0
6.460000,0.000000,0.065737,-0.065737,0.825397,0
6.462500,0.000000,0.054346,-0.054346,0.825397,0
6.465000,0.000000,0.047217,-0.047217,0.825397,0
6.467500,0.000000,0.039685,-0.039685,0.825397,0
6.470000,0.000000,0.036393,-0.036393,0.825397,0
6.472500,0.000000,0.054083,-0.054083,0.825397,0
6.475000,0.000000,0.072836,-0.072836,0.825397,0
6.477500,0.000000,0.079199,-0.079199,0.825397,0
6.480000,0.000000,0.077721,-0.077721,0.761905,0
6.482500,0.000000,0.059752,-0.059752,0.761905,0
